,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Color coding to denote open source (green), proprietary (orange), partial open source (yellow)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link ISV name to Trello board for status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AI and Machine Learning Lifecycle,,,,,,Data Analysis,,,Data Processing,,,,,,Data Store,,,,,,Data Governance and Security,,,,,,,,Infrastructure,,,,
,Part of ODH?,Platform vendor?,Experimentation & Parameter Tuning,Model Serving,Lineage,Interactive Workbench,Pre-defined Models as a Service,AI/ML Modules and Extensions,BI,Dashboards and Charts,Data Exploration,Message Bus,Workflows,Data Orchestration,Analytics Engine,Stream Processing,Batch Processing,Object Storage,In Memory Data Store,Data Virtualization,NoSQL Databases,Relational Databases,Analytics Database/Data Warehouse,Provenance and Lineage,Authentication,Authorization,Data Encryption,Data Catalog,Data Classification,Data Versioning,API Management,Monitoring and Alerting,Metric Visualization,AIOPs,Hardware Acceleration,Hardware Stacks
Domino Data Lab,,x,Domino Data Science Platform,Domino Data Science Platform,,Domino Data Science Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confluent,,,,,,,,,,,,Apache Kafka,,,,"Kafka Connect, KSQL",,,,,,,,,,,,,,,,,,,,
UBix Labs,,,,,UBIX,UBIX,,,,,,,,,,UBIX,UBIX,,,,,,,,,,,,,,,,,,,
Couchbase,,,,,,,,,,,,,,,,,,,,,Couchbase Server,,,,,,,,,,,,,,,
CrunchyDB,,,,,,,,,,,,,,,,,,,,,,Crunchy Certified PostgreSQL with Crunchy PostgreSQL for Kubernetes,,,,,,,,,,,,,,
MongoDB,,,,,,,,,,,,,,,,,,,,,MongoDB,,,,,,,,,,,,,,,
Redis Labs,,,,,,,,,,,,,,,,,,,Redis,,,,,,,,,,,,,,,,,
Portworx,,,,,,,,,,,,,,,,,,PX-Enterprise,,,,,,,,,,,,,,,,,,
ProphetStor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federator.AI,,
Lightbend,,x,,,,,,,,,,"Kafka, Lightbend Platform",,,Apache Spark,"Apache Kafka Streams, Apache Flink, Lightbend Platform",Apache Flink,,,,,,,,,,Lightbend Platform,,,,,Lightbend Platform,,,,
Riverbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riverbed,,
Swiss Data Science Center,,,,,RENKU,"JupyterLab, RENKU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperMicro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Two Sigma,,,,,,,,BeakerX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Styra,,,,,,,,,,,,,,,,,,,,,,,,,,"Open Policy Agent, Styra",,,,,,,,,,
Elastic.co,,,,,,,,,,Kibana,Kibana,Beats,,,Elasticsearch,,Logstash,,,,,,,,,,,,,,,,,,,
Knime,,x,Knime Analytics Platform,,,,,,,KNIME Analytics Platform,,,"Knime Analytics Platform, KNIME Server",,,,KNIME Analytics Platform,,,,,,,,KNIME Server,KNIME Server,,,,,,,,,,
Skymind,,x,Skymind,Skymind,,,,,,,Skymind,,Skymind,,,,,,,,,,,,,,,,,,,,,,,
Microstrategy,,x,,,,,,,MicroStrategy,MicroStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotscience,,x,,Dotscience,Dotscience,"JupyterLab, Dotscience",,,,,,,,,,,,,,,,,,Dotscience,,,,,,Dotscience,,,,,,
DataRobot,,,DataRobot,DataRobot,,,DataRobot,,,,,,DataRobot,,,,,,,,,,,,,,,,,,,,,,,
Alluxio,,,,,,,,,,,,,,Alluxio,,,,,,,,,,,,,,,,,,,,,,
Feedzai,,x,,,,Feedzai Agile Machine Learning,,,,Feedzai Agile Machine Learning,Feedzai Agile Machine Learning,,,,Apache Spark,Feedzai Agile Machine Learning,Feedzai Agile Machine Learning,,,,,,,,,,,,,,,,,,,
Paperspace,,x,Gradient,"Gradient, Hyperopt",,"Jupyter Notebooks, Gradient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
